Liabilities	Liabilities	Liabilities	Liabilities	Liabilities	Liabilities		
Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	Distribution of ROCE by farm type	
	Percentage of farm businesses						
	ROCE (NFI) (%)						
Farm Type	Negative	0%-<2.5%	2.5%-<5%	5%-<10%	10%-<15%	15%+	
Dairy	43	9	10	17	12	10	
LFA Grazing Livestock	68	9	7	11	3	2	
Lowland Grazing Livestock	75	7	3	7	3	5	
Cereals	19	8	6	16	20	31	
General cropping(a)	26	11		18	15	31	
Pigs & Poultry	45	6	5	11	8	25	
Mixed	59	7	4	11	7	11	
Horticulture	61	2	5	5	6	20	
Average ROCE and median ROCE by farm size	Average ROCE and median ROCE by farm size	Average ROCE and median ROCE by farm size	Average ROCE and median ROCE by farm size				
Farm Size	Average ROCE (NFI)(%)	95% Confidence Interval (%) (±)	Median ROCE (NFI) (%)				
Spare & part-time	0	2	-2				
Small	3	1	-2				
Medium	4	1	-1				
Large	6	1	3				
Very large	11	2	8				
Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size	Percentile values of ROCE by farm size		
	Percentile values of ROCE						
Farm Size	5%	25%	50%	75%	95%		
Spare & part-time	-38	-15	-2	10	37		
Small	-37	-13	-2	10	24		
Medium	-46	-9	-1	9	24		
Large	-24	-6	3	11	30		
Very large	-8	1	8	16	32		
Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	Distribution of ROCE by farm size	
	Percentage of farm businesses						
	ROCE (NFI) (%)						
Farm Size	Negative	0%-<2.5%	2.5%-<5%	5%-<10%	10%-<15%	15%+	
Spare & part time	55	8	4	10	9	14	
Small	56	4	3	13	9	14	
Medium	52	7	7	10	10	14	
Large	43	7	9	12	11	18	
Very large	20	10	11	18	14	28	
Average ROCE and median ROCE by farm tenure	Average ROCE and median ROCE by farm tenure	Average ROCE and median ROCE by farm tenure	Average ROCE and median ROCE by farm tenure				
Farm Tenure	Average ROCE (NFI)(%)	95% Confidence Interval (%) (±)	Median ROCE (NFI) (%)				
Owner occupied	2	1	-2				
Mixed - mainly owner occupied	6	2	0				
Mixed - mainly tenanted	8	2	1				
Tenanted	9	2	5				
Percentile values of ROCE by farm tenure	Percentile values of ROCE by farm tenure	Percentile values of ROCE by farm tenure	Percentile values of ROCE by farm tenure	Percentile values of ROCE by farm tenure	Percentile values of ROCE by farm tenure		
	Percentile values of ROCE						
Farm Tenure	5%	25%	50%	75%	95%		
Owner occupied	-45	-13	-2	9	34		
Mixed - mainly owner occupied	-38	-10	0	11	25		
Mixed - mainly tenanted	-23	-7	1	11	28		
Tenanted	-30	-6	5	13	29		
Distribution of ROCE by farm tenure							
	Percentage of farm businesses						
	ROCE  bands						
Farm Tenure	Negative	0%-<2.5%	2.5%-<5%	5%-<10%	10%-<15%	15%+	
Owner occupied	56	6	5	9	9	14	
Mixed - mainly owner occupied	45	8	6	15	8	19	
Mixed - mainly tenanted	36	6	8	19	16	17	
Tenanted	50	8	6	8	11	17	
